Loading network for case 'demoVerbundnetz_SimulationNeu' from data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus...
Loading VICUS file: data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Parsed Simultaneity Spline: 63 points.
data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Found peak day: day 24 (hours 552-575) with peak=7400.0000
Force-selected profile: Residential_SingleFamily_HeatingLoad.tsv (peak day extraction, resampled to 96 steps)
Peak day profile plot saved to output/peak_day_profile.png
Created 692 consumers and 1594 relevant optimization edges.

--- Starting Optimization using Scheme 'v4' for demoVerbundnetz_SimulationNeu ---
Initial weighted error (using v4): 1580050.223118
Average target simultaneity: 0.8569
  Iter 0: Obj=1580050.931272 (Fit: 1580050.223118, Reg: 0.708153) | LR: 0.000000
  Iter 200: Obj=28082.221430 (Fit: 28076.715229, Reg: 5.506201) | LR: 0.000019
  Iter 400: Obj=21020.439705 (Fit: 21012.210345, Reg: 8.229360) | LR: 0.000023
  Iter 600: Obj=20016.983329 (Fit: 20007.809095, Reg: 9.174233) | LR: 0.000024
  Iter 800: Obj=19776.572700 (Fit: 19767.022962, Reg: 9.549737) | LR: 0.000024
  Iter 1000: Obj=19691.743979 (Fit: 19682.007961, Reg: 9.736018) | LR: 0.000024
  Iter 1200: Obj=19642.411830 (Fit: 19632.532340, Reg: 9.879490) | LR: 0.000024
  Iter 1400: Obj=19608.850586 (Fit: 19598.855666, Reg: 9.994920) | LR: 0.000024
  Iter 1600: Obj=19590.321138 (Fit: 19580.249037, Reg: 10.072101) | LR: 0.000024
  Iter 1800: Obj=19578.203575 (Fit: 19568.071201, Reg: 10.132374) | LR: 0.000024
Final Error: 19571.993354

================================================================================
OPTIMIZATION RESULTS
================================================================================

OPTIMIZED EDGES (n_consumers > 1): 816 edges
--------------------------------------------------------------------------------
Edge ID              | n_e   | Target g(n)  | Achieved g   | Deviation 
6082->5231           | 313   | 0.4759       | 0.4983       | 0.0224    
5231->5232           | 313   | 0.4759       | 0.4983       | 0.0224    
5232->5233           | 313   | 0.4759       | 0.4983       | 0.0224    
5233->5234           | 313   | 0.4759       | 0.4983       | 0.0224    
5234->7494           | 250   | 0.4842       | 0.4943       | 0.0101    
7494->5361           | 249   | 0.4844       | 0.4971       | 0.0127    
5361->5235           | 248   | 0.4846       | 0.4999       | 0.0153    
5235->5373           | 199   | 0.4997       | 0.4995       | -0.0002   
5373->5600           | 198   | 0.5001       | 0.5064       | 0.0063    
5600->6284           | 197   | 0.5005       | 0.5089       | 0.0084    
6284->5819           | 196   | 0.5009       | 0.5113       | 0.0103    
5819->5236           | 195   | 0.5014       | 0.5137       | 0.0123    
5236->5262           | 195   | 0.5014       | 0.5137       | 0.0123    
5262->5257           | 165   | 0.5169       | 0.4953       | -0.0216   
5257->6296           | 165   | 0.5169       | 0.4953       | -0.0216   
6296->6338           | 164   | 0.5175       | 0.4983       | -0.0193   
6338->5853           | 163   | 0.5182       | 0.5019       | -0.0163   
5853->5974           | 162   | 0.5188       | 0.5065       | -0.0123   
5974->7441           | 161   | 0.5195       | 0.5122       | -0.0073   
7441->7386           | 160   | 0.5202       | 0.5156       | -0.0046   
7386->7285           | 159   | 0.5209       | 0.5190       | -0.0018   
7285->7370           | 158   | 0.5215       | 0.5246       | 0.0030    
7370->6777           | 157   | 0.5222       | 0.5338       | 0.0116    
6777->7545           | 157   | 0.5222       | 0.5338       | 0.0116    
7545->7434           | 156   | 0.5230       | 0.5384       | 0.0154    
7434->7611           | 155   | 0.5237       | 0.5441       | 0.0204    
7611->6776           | 154   | 0.5244       | 0.5510       | 0.0266    
6776->6758           | 139   | 0.5369       | 0.5480       | 0.0111    
6758->7343           | 136   | 0.5397       | 0.5564       | 0.0166    
7343->7578           | 135   | 0.5407       | 0.5658       | 0.0251    
7578->7273           | 134   | 0.5417       | 0.5707       | 0.0290    
7273->7176           | 133   | 0.5427       | 0.5762       | 0.0335    
