Loading network for case 'demoVerbundnetz_SimulationNeu' from data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus...
Loading VICUS file: data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Parsed Simultaneity Spline: 63 points.
data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Found peak day: day 24 (hours 552-575) with peak=7400.0000
Force-selected profile: Residential_SingleFamily_HeatingLoad.tsv (peak day extraction, resampled to 96 steps)
Peak day profile plot saved to output/peak_day_profile.png
Created 692 consumers and 1594 relevant optimization edges.

--- Starting Optimization using Scheme 'v4' for demoVerbundnetz_SimulationNeu ---
Initial weighted error (using v4): 1580050.223118
Average target simultaneity: 0.8569
  Iter 0: Obj=1580050.931272 (Fit: 1580050.223118, Reg: 0.708153) | LR: 0.000000
  Iter 200: Obj=28082.221430 (Fit: 28076.715229, Reg: 5.506201) | LR: 0.000019
  Iter 400: Obj=21020.439705 (Fit: 21012.210345, Reg: 8.229360) | LR: 0.000023
  Iter 600: Obj=20016.983329 (Fit: 20007.809095, Reg: 9.174233) | LR: 0.000024
  Iter 800: Obj=19776.572700 (Fit: 19767.022962, Reg: 9.549737) | LR: 0.000024
  Iter 1000: Obj=19691.743979 (Fit: 19682.007961, Reg: 9.736018) | LR: 0.000024
  Iter 1200: Obj=19642.411830 (Fit: 19632.532340, Reg: 9.879490) | LR: 0.000024
  Iter 1400: Obj=19608.850586 (Fit: 19598.855666, Reg: 9.994920) | LR: 0.000024
  Iter 1600: Obj=19590.321138 (Fit: 19580.249037, Reg: 10.072101) | LR: 0.000024
  Iter 1800: Obj=19578.203575 (Fit: 19568.071201, Reg: 10.132374) | LR: 0.000024
Final Error: 19571.993354

================================================================================
OPTIMIZATION RESULTS
================================================================================

OPTIMIZED EDGES (n_consumers > 1): 816 edges
--------------------------------------------------------------------------------
Edge ID              | n_e   | Target g(n)  | Achieved g   | Deviation 
7075->7241           | 4     | 0.9953       | 0.9968       | 0.0015    
7367->7355           | 4     | 0.9953       | 0.9960       | 0.0006    
7313->7173           | 4     | 0.9953       | 0.8882       | -0.1072   
7160->7358           | 4     | 0.9953       | 0.9941       | -0.0012   
7257->7389           | 4     | 0.9953       | 0.9955       | 0.0002    
7793->7019           | 4     | 0.9953       | 0.7503       | -0.2450   
7019->7018           | 4     | 0.9953       | 0.7503       | -0.2450   
7703->7899           | 4     | 0.9953       | 0.9998       | 0.0045    
7018->7017           | 4     | 0.9953       | 0.7503       | -0.2450   
7017->7016           | 4     | 0.9953       | 0.7503       | -0.2450   
6898->7097           | 4     | 0.9953       | 0.9415       | -0.0538   
7097->7096           | 4     | 0.9953       | 0.9415       | -0.0538   
7096->7095           | 4     | 0.9953       | 0.9415       | -0.0538   
7095->7094           | 4     | 0.9953       | 0.9415       | -0.0538   
7094->7093           | 4     | 0.9953       | 0.9415       | -0.0538   
7093->7697           | 4     | 0.9953       | 0.9415       | -0.0538   
7936->8009           | 4     | 0.9953       | 0.9950       | -0.0003   
6960->7796           | 4     | 0.9953       | 0.8643       | -0.1311   
7836->6922           | 4     | 0.9953       | 0.9953       | -0.0000   
6922->7715           | 4     | 0.9953       | 0.9953       | -0.0000   
7893->7848           | 4     | 0.9953       | 0.9956       | 0.0002    
6988->6967           | 4     | 0.9953       | 0.9895       | -0.0058   
7760->6993           | 4     | 0.9953       | 0.9949       | -0.0005   
6967->6968           | 4     | 0.9953       | 0.9895       | -0.0058   
6993->6994           | 4     | 0.9953       | 0.9949       | -0.0005   
6968->7996           | 4     | 0.9953       | 0.9895       | -0.0058   
7137->7663           | 3     | 0.9975       | 0.4161       | -0.5814   
7630->7383           | 3     | 0.9975       | 1.0000       | 0.0025    
7682->7608           | 3     | 0.9975       | 0.9972       | -0.0003   
6146->4885           | 3     | 0.9975       | 0.9997       | 0.0022    
4885->6079           | 3     | 0.9975       | 0.9997       | 0.0022    
4889->5472           | 3     | 0.9975       | 0.9969       | -0.0007   
6224->4890           | 3     | 0.9975       | 0.9940       | -0.0036   
4949->5749           | 3     | 0.9975       | 1.0000       | 0.0025    
6257->5871           | 3     | 0.9975       | 0.9973       | -0.0002   
5313->5910           | 3     | 0.9975       | 0.9978       | 0.0002    
4963->6191           | 3     | 0.9975       | 0.1667       | -0.8308   
5609->6319           | 3     | 0.9975       | 0.9903       | -0.0073   
5194->5785           | 3     | 0.9975       | 0.6052       | -0.3924   
5114->8022           | 3     | 0.9975       | 0.7269       | -0.2707   
5034->5166           | 3     | 0.9975       | 0.6002       | -0.3974   
5904->5922           | 3     | 0.9975       | 0.9983       | 0.0007    
5166->5340           | 3     | 0.9975       | 0.6002       | -0.3974   
5938->5161           | 3     | 0.9975       | 0.9989       | 0.0014    
5161->6028           | 3     | 0.9975       | 0.9989       | 0.0014    
6076->5822           | 3     | 0.9975       | 0.9968       | -0.0007   
5122->5825           | 3     | 0.9975       | 0.9977       | 0.0002    
5572->5200           | 3     | 0.9975       | 0.9977       | 0.0002    
5030->5992           | 3     | 0.9975       | 0.8031       | -0.1945   
5084->5058           | 3     | 0.9975       | 0.9892       | -0.0083   
5084->6016           | 3     | 0.9975       | 0.9851       | -0.0125   
5084->6323           | 3     | 0.9975       | 0.9857       | -0.0118   
5028->5794           | 3     | 0.9975       | 0.9976       | 0.0001    
5200->6152           | 3     | 0.9975       | 0.9977       | 0.0002    
5058->5059           | 3     | 0.9975       | 0.9892       | -0.0083   
5346->5797           | 3     | 0.9975       | 0.8702       | -0.1273   
5415->6139           | 3     | 0.9975       | 0.9968       | -0.0008   
7475->7144           | 3     | 0.9975       | 0.8860       | -0.1115   
7673->7147           | 3     | 0.9975       | 0.9741       | -0.0234   
7484->7217           | 3     | 0.9975       | 0.9998       | 0.0023    
7254->5316           | 3     | 0.9975       | 0.9991       | 0.0016    
6758->7552           | 3     | 0.9975       | 0.1039       | -0.8936   
6753->7071           | 3     | 0.9975       | 0.9973       | -0.0003   
7071->7072           | 3     | 0.9975       | 0.9973       | -0.0003   
7072->7460           | 3     | 0.9975       | 0.9973       | -0.0003   
7241->7304           | 3     | 0.9975       | 0.9976       | 0.0000    
7355->7481           | 3     | 0.9975       | 0.9972       | -0.0004   
7173->6847           | 3     | 0.9975       | 0.9960       | -0.0015   
6813->7431           | 3     | 0.9975       | 0.9807       | -0.0168   
6847->7590           | 3     | 0.9975       | 0.9960       | -0.0015   
7358->7463           | 3     | 0.9975       | 0.9980       | 0.0004    
6832->7395           | 3     | 0.9975       | 0.9952       | -0.0023   
7899->7877           | 3     | 0.9975       | 0.9997       | 0.0022    
7016->7751           | 3     | 0.9975       | 0.9078       | -0.0898   
7697->7092           | 3     | 0.9975       | 0.9976       | 0.0001    
8009->7768           | 3     | 0.9975       | 0.9978       | 0.0003    
7796->7842           | 3     | 0.9975       | 0.9857       | -0.0118   
7715->6923           | 3     | 0.9975       | 0.9975       | -0.0000   
6949->7999           | 3     | 0.9975       | 0.9046       | -0.0929   
6923->7046           | 3     | 0.9975       | 0.9975       | -0.0000   
7046->7969           | 3     | 0.9975       | 0.9975       | -0.0000   
7848->7914           | 3     | 0.9975       | 0.9975       | -0.0000   
6994->6995           | 3     | 0.9975       | 0.9977       | 0.0002    
7996->6969           | 3     | 0.9975       | 0.9975       | -0.0001   
6969->7790           | 3     | 0.9975       | 0.9975       | -0.0001   
7663->7500           | 2     | 0.9993       | 0.5532       | -0.4460   
7383->7451           | 2     | 0.9993       | 1.0000       | 0.0007    
7608->7410           | 2     | 0.9993       | 0.9993       | 0.0001    
6079->5478           | 2     | 0.9993       | 0.9996       | 0.0004    
5472->5578           | 2     | 0.9993       | 0.9977       | -0.0016   
4890->5699           | 2     | 0.9993       | 1.0000       | 0.0007    
5016->6231           | 2     | 0.9993       | 0.4220       | -0.5773   
4949->4926           | 2     | 0.9993       | 1.0000       | 0.0007    
4926->6221           | 2     | 0.9993       | 1.0000       | 0.0007    
5871->6210           | 2     | 0.9993       | 0.9999       | 0.0006    
5910->6103           | 2     | 0.9993       | 0.9997       | 0.0004    
6191->5721           | 2     | 0.9993       | 0.2390       | -0.7603   
6319->6260           | 2     | 0.9993       | 1.0000       | 0.0007    
8022->8026           | 2     | 0.9993       | 0.9471       | -0.0521   
5922->5511           | 2     | 0.9993       | 0.9998       | 0.0006    
5340->5165           | 2     | 0.9993       | 0.8051       | -0.1942   
5165->5164           | 2     | 0.9993       | 0.8051       | -0.1942   
5164->6200           | 2     | 0.9993       | 0.8051       | -0.1942   
6028->6088           | 2     | 0.9993       | 0.9990       | -0.0003   
5822->5430           | 2     | 0.9993       | 0.9987       | -0.0005   
5119->5120           | 2     | 0.9993       | 0.9990       | -0.0003   
5825->5121           | 2     | 0.9993       | 0.9992       | -0.0000   
5120->5535           | 2     | 0.9993       | 0.9990       | -0.0003   
5992->5591           | 2     | 0.9993       | 0.9917       | -0.0075   
6016->5874           | 2     | 0.9993       | 0.9981       | -0.0012   
6323->5702           | 2     | 0.9993       | 0.9980       | -0.0012   
5121->5816           | 2     | 0.9993       | 0.9992       | -0.0000   
5794->5029           | 2     | 0.9993       | 0.9992       | -0.0001   
6152->5844           | 2     | 0.9993       | 0.9989       | -0.0004   
5059->5060           | 2     | 0.9993       | 0.9985       | -0.0007   
5064->5810           | 2     | 0.9993       | 0.0500       | -0.9493   
5060->5061           | 2     | 0.9993       | 0.9985       | -0.0007   
5061->5548           | 2     | 0.9993       | 0.9985       | -0.0007   
5797->5980           | 2     | 0.9993       | 1.0000       | 0.0007    
6139->5696           | 2     | 0.9993       | 0.9994       | 0.0001    
7144->6795           | 2     | 0.9993       | 0.9997       | 0.0004    
7147->7581           | 2     | 0.9993       | 1.0000       | 0.0007    
7217->6860           | 2     | 0.9993       | 0.9996       | 0.0003    
6884->7535           | 2     | 0.9993       | 0.7834       | -0.2159   
6860->7153           | 2     | 0.9993       | 0.9996       | 0.0003    
5316->5675           | 2     | 0.9993       | 0.9990       | -0.0002   
7552->7651           | 2     | 0.9993       | 0.1430       | -0.8563   
7460->7073           | 2     | 0.9993       | 0.9992       | -0.0001   
7073->7211           | 2     | 0.9993       | 0.9992       | -0.0001   
7304->7513           | 2     | 0.9993       | 0.9976       | -0.0017   
7481->6811           | 2     | 0.9993       | 0.9993       | 0.0000    
7431->7522           | 2     | 0.9993       | 0.9990       | -0.0003   
6811->7525           | 2     | 0.9993       | 0.9993       | 0.0000    
7590->6846           | 2     | 0.9993       | 0.9997       | 0.0005    
6846->6845           | 2     | 0.9993       | 0.9997       | 0.0005    
6832->7425           | 2     | 0.9993       | 0.9973       | -0.0019   
6845->7621           | 2     | 0.9993       | 0.9997       | 0.0005    
7463->7322           | 2     | 0.9993       | 0.9983       | -0.0010   
7395->7670           | 2     | 0.9993       | 0.9990       | -0.0003   
7035->7826           | 2     | 0.9993       | 0.9931       | -0.0062   
7877->7990           | 2     | 0.9993       | 0.9996       | 0.0003    
7751->7015           | 2     | 0.9993       | 1.0000       | 0.0007    
7015->7014           | 2     | 0.9993       | 1.0000       | 0.0007    
7014->7833           | 2     | 0.9993       | 1.0000       | 0.0007    
7768->7906           | 2     | 0.9993       | 0.9997       | 0.0005    
7842->7700           | 2     | 0.9993       | 0.9878       | -0.0115   
7999->6950           | 2     | 0.9993       | 0.9935       | -0.0058   
6950->7754           | 2     | 0.9993       | 0.9935       | -0.0058   
7969->7045           | 2     | 0.9993       | 0.9993       | 0.0000    
7914->7854           | 2     | 0.9993       | 0.9993       | 0.0000    
7045->7044           | 2     | 0.9993       | 0.9993       | 0.0000    
6988->7866           | 2     | 0.9993       | 0.9697       | -0.0296   
6995->6996           | 2     | 0.9993       | 0.9992       | -0.0001   
7790->6970           | 2     | 0.9993       | 0.9992       | -0.0000   
6970->7817           | 2     | 0.9993       | 0.9992       | -0.0000   
--------------------------------------------------------------------------------
Mean |Deviation|: 0.0666
Max  |Deviation|: 0.9493
================================================================================

LEAF EDGES (n_consumers = 1): 778 edges
--------------------------------------------------------------------------------
These edges were NOT optimized. By definition:
  - Target simultaneity g(n) = 1.0
  - Achieved simultaneity = 1.0
  - Deviation = 0.0
================================================================================


================================================================================
DEVIATION ANALYSIS BY EDGE SIZE
================================================================================

Single consumer (not optimized):
  Count: 778
  Mean deviation: 0.0000
  Mean |deviation|: 0.0000
  Max |deviation|: 0.0000
  Std dev: 0.0000

Very small (2-10):
  Count: 353
  Mean deviation: -0.0653
  Mean |deviation|: 0.0663
  Max |deviation|: 0.9493
  Std dev: 0.1505

Small (11-50):
  Count: 266
  Mean deviation: -0.0950
  Mean |deviation|: 0.0968
  Max |deviation|: 0.3810
  Std dev: 0.0952

Medium (51-100):
  Count: 57
  Mean deviation: -0.0353
  Mean |deviation|: 0.0449
  Max |deviation|: 0.1645
  Std dev: 0.0418

Large (101-200):
  Count: 34
  Mean deviation: 0.0135
  Mean |deviation|: 0.0196
  Max |deviation|: 0.0366
  Std dev: 0.0186

Very large (201-500):
  Count: 54
  Mean deviation: 0.0094
  Mean |deviation|: 0.0097
  Max |deviation|: 0.0224
  Std dev: 0.0073

Huge (500+):
  Count: 52
  Mean deviation: 0.0271
  Mean |deviation|: 0.0271
  Max |deviation|: 0.0495
  Std dev: 0.0093

================================================================================

Network size range: 2 to 692 consumers
Using problem range: 40-60
Saved enhanced verification plot to output/comprehensive_analysis/demoVerbundnetz_SimulationNeu/steady_state_v4/verification_demoVerbundnetz_SimulationNeu_v4.png

Total execution time: 36.47 seconds
Results saved to: output/comprehensive_analysis/demoVerbundnetz_SimulationNeu/steady_state_v4

=== STDERR ===
